Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
77UCAIXE,conferencePaper,2019,"Shi, Bowen; Rio, Aurora Martinez Del; Keane, Jonathan; Brentari, Diane; Shakhnarovich, Greg; Livescu, Karen",Fingerspelling Recognition in the Wild With Iterative Visual Attention,2019 IEEE/CVF International Conference on Computer Vision (ICCV),978-1-72814-803-8,,10.1109/ICCV.2019.00550,https://ieeexplore.ieee.org/document/9010036/,"Sign language recognition is a challenging gesture sequence recognition problem, characterized by quick and highly coarticulated motion. In this paper we focus on recognition of ﬁngerspelling sequences in American Sign Language (ASL) videos collected in the wild, mainly from YouTube and Deaf social media. Most previous work on sign language recognition has focused on controlled settings where the data is recorded in a studio environment and the number of signers is limited. Our work aims to address the challenges of real-life data, reducing the need for detection or segmentation modules commonly used in this domain. We propose an end-to-end model based on an iterative attention mechanism, without explicit hand detection or segmentation. Our approach dynamically focuses on increasingly high-resolution regions of interest. It outperforms prior work by a large margin. We also introduce a newly collected data set of crowdsourced annotations of ﬁngerspelling in the wild, and show that performance can be further improved with this additional data set.",2019-10,2023-11-29 00:10:41,2023-11-29 00:11:50,2023-11-29 00:10:41,5399-5408,,,,,,,,,,,IEEE,"Seoul, Korea (South)",en,,,,,DOI.org (Crossref),,,,C:\Users\test\Zotero\storage\VNP3293B\Shi et al. - 2019 - Fingerspelling Recognition in the Wild With Iterat.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 IEEE/CVF International Conference on Computer Vision (ICCV),,,,,,,,,,,,,,,
VP64XSS4,conferencePaper,2018,"S Kumar, Sujay; Wangyal, Tenzin; Saboo, Varun; Srinath, Ramamoorthy",Time Series Neural Networks for Real Time Sign Language Translation,2018 17th IEEE International Conference on Machine Learning and Applications (ICMLA),978-1-5386-6805-4,,10.1109/ICMLA.2018.00043,https://ieeexplore.ieee.org/document/8614068/,"Sign language is the primary mode of communication for the hearing and speech impaired and there is a need for systems to translate sign languages to spoken languages. Prior research has been focused on providing glove based solutions which are intrusive and expensive. We propose a sign language translation system based solely on visual cues and deep learning for accurate translation. Our system applies Computer Vision and Neural Machine Translation for American Sign Language (ASL) gloss recognition and translation respectively. In this paper, we show that an end to end neural network system is not only capable of recognition of individual ASL glosses but also translation of continuous sign language videos into complete English sentences, making it an effective and practical tool for sign language communication.",2018-12,2023-11-29 00:13:27,2023-11-29 00:13:27,2023-11-29 00:13:27,243-248,,,,,,,,,,,IEEE,"Orlando, FL",en,,,,,DOI.org (Crossref),,,,C:\Users\test\Zotero\storage\JPEHN7HA\S Kumar et al. - 2018 - Time Series Neural Networks for Real Time Sign Lan.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018 17th IEEE International Conference on Machine Learning and Applications (ICMLA),,,,,,,,,,,,,,,
7RC5VFKY,conferencePaper,2019,"Nguyen, Huy B.D; Do, Hung Ngoc",Deep Learning for American Sign Language Fingerspelling Recognition System,2019 26th International Conference on Telecommunications (ICT),978-1-72810-273-3,,10.1109/ICT.2019.8798856,https://ieeexplore.ieee.org/document/8798856/,"Sign language has always been a major tool for communication among people with disabilities. In this paper, a sign language ﬁngerspelling alphabet identiﬁcation system would be developed by using image processing technique, supervised machine learning and deep learning. In particular, 24 alphabetical symbols are presented by several combinations of static gestures (excluding 2 motion gestures J and Z). Histogram of Oriented Gradients (HOG) and Local Binary Pattern (LBP) features of each gesture will be extracted from training images. Then Multiclass Support Vector Machines (SVMs) will be applied to train these extracted data. Also, an end-to-end Convolutional Neural Network (CNN) architecture will be applied to the training dataset for comparison. After that, a further combination of CNN as feature descriptor and SVM produces an acceptable result. The Massey Dataset is implemented in the training and testing phases of the whole system.",2019-04,2023-11-29 00:15:30,2023-11-29 00:15:30,2023-11-29 00:15:30,314-318,,,,,,,,,,,IEEE,"Hanoi, Vietnam",en,,,,,DOI.org (Crossref),,,,C:\Users\test\Zotero\storage\ZCNRKPQK\Nguyen and Do - 2019 - Deep Learning for American Sign Language Fingerspe.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 26th International Conference on Telecommunications (ICT),,,,,,,,,,,,,,,
62JYKNKK,journalArticle,2018,"Chong, Teak-Wei; Lee, Boon-Giin",American Sign Language Recognition Using Leap Motion Controller with Machine Learning Approach,Sensors,,1424-8220,10.3390/s18103554,https://www.mdpi.com/1424-8220/18/10/3554,"Sign language is intentionally designed to allow deaf and dumb communities to convey messages and to connect with society. Unfortunately, learning and practicing sign language is not common among society; hence, this study developed a sign language recognition prototype using the Leap Motion Controller (LMC). Many existing studies have proposed methods for incomplete sign language recognition, whereas this study aimed for full American Sign Language (ASL) recognition, which consists of 26 letters and 10 digits. Most of the ASL letters are static (no movement), but certain ASL letters are dynamic (they require certain movements). Thus, this study also aimed to extract features from finger and hand motions to differentiate between the static and dynamic gestures. The experimental results revealed that the sign language recognition rates for the 26 letters using a support vector machine (SVM) and a deep neural network (DNN) are 80.30% and 93.81%, respectively. Meanwhile, the recognition rates for a combination of 26 letters and 10 digits are slightly lower, approximately 72.79% for the SVM and 88.79% for the DNN. As a result, the sign language recognition system has great potential for reducing the gap between deaf and dumb communities and others. The proposed prototype could also serve as an interpreter for the deaf and dumb in everyday life in service sectors, such as at the bank or post office.",2018-10,2023-11-29 00:16:34,2023-11-29 00:16:34,2023-11-29 00:16:34,3554,,10,18,,,,,,,,,,en,http://creativecommons.org/licenses/by/3.0/,,,,www.mdpi.com,,Number: 10 Publisher: Multidisciplinary Digital Publishing Institute,,C:\Users\test\Zotero\storage\QGWQXCYL\Chong and Lee - 2018 - American Sign Language Recognition Using Leap Moti.pdf,,,American Sign Language; deep neural network; human-computer interaction; Leap Motion Controller; machine learning; multi-class classification; sign language recognition; support vector machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3CV77PDE,journalArticle,2021,"Adeyanju, I.A.; Bello, O.O.; Adegboye, M.A.",Machine learning methods for sign language recognition: A critical review and analysis,Intelligent Systems with Applications,,26673053,10.1016/j.iswa.2021.200056,https://linkinghub.elsevier.com/retrieve/pii/S2667305321000454,,2021-11,2023-11-29 00:17:57,2023-11-29 00:17:57,2023-11-29 00:17:57,200056,,,12,,Intelligent Systems with Applications,Machine learning methods for sign language recognition,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\test\Zotero\storage\WDP9WTXW\Adeyanju et al. - 2021 - Machine learning methods for sign language recogni.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2J33D2S,journalArticle,2021,"Rastgoo, Razieh; Kiani, Kourosh; Escalera, Sergio",Sign Language Recognition: A Deep Survey,Expert Systems with Applications,,09574174,10.1016/j.eswa.2020.113794,https://linkinghub.elsevier.com/retrieve/pii/S095741742030614X,"Sign language, as a different form of the communication language, is important to large groups of people in society. There are different signs in each sign language with variability in hand shape, motion profile, and position of the hand, face, and body parts contributing to each sign. So, visual sign language recognition is a complex research area in computer vision. Many models have been proposed by different researchers with significant improvement by deep learning approaches in recent years. In this survey, we review the visionbased proposed models of sign language recognition using deep learning approaches from the last five years. While the overall trend of the proposed models indicates a significant improvement in recognition accuracy in sign language recognition, there are some challenges yet that need to be solved. We present a taxonomy to categorize the proposed models for isolated and continuous sign language recognition, discussing applications, datasets, hybrid models, complexity, and future lines of research in the field.",2021-02,2023-11-29 00:18:32,2023-11-29 00:18:32,2023-11-29 00:18:32,113794,,,164,,Expert Systems with Applications,Sign Language Recognition,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\test\Zotero\storage\NXZMWM3W\Rastgoo et al. - 2021 - Sign Language Recognition A Deep Survey.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRZEL8DL,conferencePaper,2020,"Cihan Camgoz, Necati; Koller, Oscar; Hadfield, Simon; Bowden, Richard",Sign Language Transformers: Joint End-to-End Sign Language Recognition and Translation,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),978-1-72817-168-5,,10.1109/CVPR42600.2020.01004,https://ieeexplore.ieee.org/document/9156773/,"Prior work on Sign Language Translation has shown that having a mid-level sign gloss representation (effectively recognizing the individual signs) improves the translation performance drastically. In fact, the current state-of-theart in translation requires gloss level tokenization in order to work. We introduce a novel transformer based architecture that jointly learns Continuous Sign Language Recognition and Translation while being trainable in an end-to-end manner. This is achieved by using a Connectionist Temporal Classiﬁcation (CTC) loss to bind the recognition and translation problems into a single uniﬁed architecture. This joint approach does not require any ground-truth timing information, simultaneously solving two co-dependant sequence-tosequence learning problems and leads to signiﬁcant performance gains.",2020-06,2023-11-29 00:18:54,2023-11-29 00:18:54,2023-11-29 00:18:54,10020-10030,,,,,,Sign Language Transformers,,,,,IEEE,"Seattle, WA, USA",en,,,,,DOI.org (Crossref),,,,C:\Users\test\Zotero\storage\MGNGYH32\Cihan Camgoz et al. - 2020 - Sign Language Transformers Joint End-to-End Sign .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,,,,,,,,,,,,,,
JAP5RPTG,conferencePaper,2021,"Shi, Bowen; Brentari, Diane; Shakhnarovich, Greg; Livescu, Karen",Fingerspelling Detection in American Sign Language,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),978-1-66544-509-2,,10.1109/CVPR46437.2021.00415,https://ieeexplore.ieee.org/document/9578297/,"Fingerspelling, in which words are signed letter by letter, is an important component of American Sign Language. Most previous work on automatic ﬁngerspelling recognition has assumed that the boundaries of ﬁngerspelling regions in signing videos are known beforehand. In this paper, we consider the task of ﬁngerspelling detection in raw, untrimmed sign language videos. This is an important step towards building real-world ﬁngerspelling recognition systems. We propose a benchmark and a suite of evaluation metrics, some of which reﬂect the effect of detection on the downstream ﬁngerspelling recognition task. In addition, we propose a new model that learns to detect ﬁngerspelling via multi-task training, incorporating pose estimation and ﬁngerspelling recognition (transcription) along with detection, and compare this model to several alternatives. The model outperforms all alternative approaches across all metrics, establishing a state of the art on the benchmark.",2021-06,2023-11-29 00:20:14,2023-11-29 00:20:14,2023-11-29 00:20:14,4164-4173,,,,,,,,,,,IEEE,"Nashville, TN, USA",en,,,,,DOI.org (Crossref),,,,C:\Users\test\Zotero\storage\3DXLW7AJ\Shi et al. - 2021 - Fingerspelling Detection in American Sign Language.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,,,,,,,,,,,,,,
YXD3QATL,conferencePaper,2020,"Abiyev, Rahib; Idoko, John Bush; Arslan, Murat",Reconstruction of Convolutional Neural Network for Sign Language Recognition,"2020 International Conference on Electrical, Communication, and Computer Engineering (ICECCE)",978-1-72817-116-6,,10.1109/ICECCE49384.2020.9179356,https://ieeexplore.ieee.org/document/9179356/,"This paper presents a Sign Language translation model using Convolutional Neural Networks (CNN). A sign language is a language which allows mute and hearingimpaired people to communicate. It is a visually oriented, nonverbal communication which facilitates communication through body/facial postures, expressions and a collection of gestures. To contribute to the wellbeing of the affected population, we are motivated to implement a vision-based system to avert their day to day challenges. Our propose model constitutes object detection and classification phases. The first module is made up of single shot multi-box detector (SSD) used for hand detection. The second module constitutes convolutional neural network plus a fully connected network utilized to constructively translate the detected signs into text. The propose model is implemented using American sign language fingerspelling dataset. The propose system outperformed other published results in the comparative analysis, hence recommended for further exploitation in sign language recognition problems.",2020-06,2023-11-29 00:20:20,2023-11-29 00:20:20,2023-11-29 00:20:20,1-5,,,,,,,,,,,IEEE,"Istanbul, Turkey",en,,,,,DOI.org (Crossref),,,,C:\Users\test\Zotero\storage\UFTNKESY\Abiyev et al. - 2020 - Reconstruction of Convolutional Neural Network for.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2020 International Conference on Electrical, Communication, and Computer Engineering (ICECCE)",,,,,,,,,,,,,,,
4ZKWVACK,conferencePaper,2022,"Weerasooriya, Amal A.; Ambegoda, Thanuja D.",Sinhala Fingerspelling Sign Language Recognition with Computer Vision,2022 Moratuwa Engineering Research Conference (MERCon),978-1-66548-786-3,,10.1109/MERCon55799.2022.9906281,https://ieeexplore.ieee.org/document/9906281/,"Computer vision based sign language translation is usually based on using thousands of images or video sequences for model training. This is not an issue in the case of widely used languages such as American Sign Language. However, in case of languages with low resources such as Sinhala Sign Language, it’s challenging to use similar methods for developing translators since there are no known data sets available for such studies.",2022-07-27,2023-11-29 00:20:53,2023-11-29 00:20:53,2023-11-29 00:20:53,1-6,,,,,,,,,,,IEEE,"Moratuwa, Sri Lanka",en,,,,,DOI.org (Crossref),,,,C:\Users\test\Zotero\storage\J4VM2MWH\Weerasooriya and Ambegoda - 2022 - Sinhala Fingerspelling Sign Language Recognition w.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 Moratuwa Engineering Research Conference (MERCon),,,,,,,,,,,,,,,
